LAI_JUN, LAI_JUL, LAI_AUG, LAI_SEP, LAI_OCT, LAI_NOV
0.476485, 0.566221, 1.180546, 1.550128, 1.481505, 0.958738
0.271169, 0.553859, 1.567092, 1.679581, 0.616235, 0.45752
1.010184, 0.666346, 1.249341, 2.35814, 2.12062, 1.790861
0.250737, 0.489577, 0.774511, 1.387226, 0.843248, 0.603301
0.61597, 0.651014, 0.991651, 2.036469, 1.361632, 1.225113
0.210624, 0.343647, 0.761659, 0.765648, 0.545582, 0.645312
0.281696, 0.586427, 1.452432, 1.849216, 0.664742, 0.544411
0.411961, 0.610474, 0.855206, 1.805687, 1.188514, 0.986245
0.328356, 0.677589, 1.285843, 1.506345, 0.911058, 0.628614
0.647548, 0.730377, 1.1932, 1.880586, 1.389115, 1.168776
0.402926, 0.610705, 1.191287, 1.609111, 1.165535, 0.804404
0.248254, 0.423507, 1.036642, 1.08157, 0.601645, 0.413557
0.337395, 0.576991, 1.224999, 1.595709, 0.868675, 0.706157
0.209012, 0.52456, 1.0114, 1.424556, 0.684732, 0.543205
0.773475, 0.779654, 1.295026, 2.060111, 1.913826, 1.532519
0.274827, 0.622796, 1.592356, 1.971999, 0.749312, 0.50746
0.278783, 0.597276, 1.077133, 1.331359, 0.835243, 0.643311
0.378501, 0.459379, 1.274216, 2.181229, 0.939345, 0.793295
0.549008, 0.460512, 0.986322, 1.990252, 1.386399, 1.116922
0.287989, 0.658948, 1.208888, 1.367404, 0.573508, 0.582234
0.444652, 0.508425, 1.036088, 1.638332, 1.355308, 0.981147
0.305115, 0.600113, 1.064522, 1.396219, 0.855268, 0.666948
0.43382, 0.583341, 1.238684, 1.480013, 1.365577, 0.923788
0.706067, 0.737055, 1.37888, 2.04092, 1.770659, 1.381788
0.195319, 0.372464, 1.1216, 1.299567, 0.474759, 0.420116
0.232792, 0.570446, 1.163187, 1.087885, 0.643409, 0.594152
0.521351, 0.529491, 1.176051, 1.705564, 1.267831, 1.027346
0.263577, 0.528436, 1.237583, 1.400032, 0.654487, 0.602035
0.391203, 0.789236, 1.472025, 1.649032, 1.284195, 0.891134
0.502962, 0.716576, 1.291091, 1.718739, 1.106585, 0.881736
0.204459, 0.398543, 1.341163, 1.784411, 0.563114, 0.389192
0.203789, 0.298845, 1.112133, 1.427843, 0.600075, 0.453454
0.261635, 0.43886, 1.138937, 1.192347, 0.831724, 0.565573
0.384635, 0.650514, 1.547961, 1.741473, 0.932581, 0.660298
0.327055, 0.599512, 1.348731, 1.486147, 1.116157, 0.743467
0.328026, 0.557663, 1.207171, 1.755456, 0.770006, 0.640719
0.635493, 0.625379, 1.183572, 1.927205, 1.373519, 1.139268
0.592181, 0.706119, 1.312649, 1.623103, 1.531718, 1.107211
0.215381, 0.434998, 1.608163, 1.492644, 0.516638, 0.403037
0.398098, 0.876542, 1.274034, 1.886085, 1.081132, 0.798529
0.332612, 0.686596, 1.367371, 1.796099, 0.930051, 0.675449
0.50495, 0.609883, 1.241057, 1.443641, 1.287661, 0.943213
0.281602, 0.559866, 1.27723, 1.327984, 0.689558, 0.439144
0.199808, 0.342366, 1.570668, 1.392497, 0.457368, 0.389914
0.729682, 0.967503, 1.536887, 1.782327, 1.749572, 1.387694
0.263812, 0.686827, 1.857113, 1.576266, 0.604815, 0.525352
0.567954, 0.985886, 0.753611, 1.785671, 1.553781, 0.914153
0.265376, 0.5219, 1.293023, 1.246159, 0.660577, 0.497943
0.837754, 1.239571, 0.677925, 2.437563, 2.514894, 1.628823
0.209792, 0.262409, 0.640551, 1.442936, 0.928021, 0.577877
0.613691, 0.699881, 1.099906, 1.83125, 1.651485, 1.016454
0.314225, 0.457974, 0.657739, 0.756859, 0.475572, 0.605716
0.277525, 0.593572, 0.961637, 1.245122, 0.713469, 0.48669
0.39911, 0.424763, 0.98654, 1.585959, 1.33523, 0.835654
0.401768, 0.912055, 1.257383, 1.450394, 0.927795, 0.632292
0.551047, 0.986347, 1.058899, 1.872525, 1.582201, 1.025474
0.421784, 0.976231, 1.322807, 1.74597, 1.125226, 0.729007
0.343253, 0.65902, 0.836424, 0.88165, 0.544306, 0.463611
0.354702, 0.736557, 0.903123, 1.247251, 0.990941, 0.707964
0.202731, 0.292562, 0.755784, 1.461094, 0.782433, 0.564148
0.676063, 1.012957, 0.848593, 1.89374, 2.022374, 1.267282
0.284128, 0.64123, 1.230536, 1.467563, 0.80288, 0.520107
0.508412, 0.869631, 1.158937, 1.466712, 0.889872, 0.611744
0.446056, 0.962795, 1.076835, 1.311158, 1.17172, 0.772071
0.470334, 0.713012, 1.248532, 1.548284, 1.534592, 1.01446
0.271201, 0.554941, 0.849539, 1.197708, 0.69013, 0.550054
0.442016, 0.650143, 0.927725, 1.59593, 1.270767, 0.813734
0.281675, 0.28113, 0.808506, 1.647788, 0.928033, 0.624991
0.475397, 0.746172, 1.059729, 1.627249, 1.375728, 0.826387
0.57314, 1.062799, 0.943663, 2.148324, 2.01185, 1.242969
0.2126, 0.766767, 1.006345, 1.111407, 0.52712, 0.504152
0.354284, 0.900907, 0.960617, 1.026208, 0.580859, 0.589397
0.457494, 0.779831, 1.125323, 1.485136, 1.310331, 0.89947
0.325659, 1.022268, 1.17173, 1.223774, 0.714001, 0.576072
0.55009, 1.079867, 1.317962, 1.65716, 1.289638, 0.836337
0.360818, 0.764655, 1.041221, 1.467207, 1.253405, 0.804482
0.202162, 0.480884, 0.878058, 1.107867, 0.607538, 0.423987
0.209713, 0.552303, 0.838964, 1.238972, 0.645449, 0.535491
0.312796, 0.69297, 1.008724, 1.231093, 0.957215, 0.629039
0.343378, 0.65645, 1.324478, 1.513204, 0.982257, 0.651591
0.459387, 0.85849, 1.183786, 1.446802, 1.131966, 0.727524
0.304722, 0.641128, 0.974053, 1.254261, 0.894651, 0.629112
0.548943, 0.985132, 1.019509, 1.827956, 1.529696, 0.977432
0.614534, 0.887198, 0.99999, 1.641356, 1.550911, 1.005013
0.207085, 0.628707, 1.062694, 0.955455, 0.552163, 0.45155
0.566043, 1.248005, 1.501185, 1.741247, 1.160443, 0.795267
0.434504, 0.973545, 1.540696, 1.791429, 0.975126, 0.659331
0.507218, 0.836423, 1.12411, 1.46584, 1.364247, 0.966754
0.326162, 0.779677, 1.163499, 1.234699, 0.668888, 0.451449
0.206953, 0.629225, 1.045283, 0.975813, 0.479277, 0.494021
0.719923, 1.054517, 1.167697, 1.739064, 1.782245, 1.218232
0.231408, 0.421356, 1.037012, 1.138066, 0.632103, 0.486394
0.538303, 0.3317, 0.879537, 1.768325, 1.414536, 0.932948
0.284983, 0.393188, 1.175748, 1.617551, 0.618272, 0.43282
0.984033, 0.377857, 0.729031, 2.266011, 2.282625, 1.691753
0.266124, 0.266825, 0.865588, 1.38365, 0.966837, 0.57508
0.649607, 0.404959, 0.716001, 1.705036, 1.472324, 1.000634
0.217071, 0.27456, 0.743635, 0.775564, 0.51636, 0.657495
0.272263, 0.210261, 0.721347, 1.309732, 0.633328, 0.459707
0.431697, 0.361806, 0.545546, 1.494577, 1.299916, 0.843025
0.33614, 0.441139, 0.958417, 1.480113, 0.849249, 0.602575
0.64777, 0.388658, 0.809229, 1.759088, 1.461323, 1.02741
0.39514, 0.358239, 0.977611, 1.756691, 0.983142, 0.698059
0.24232, 0.351447, 0.612534, 0.981153, 0.567329, 0.451071
0.334114, 0.24645, 0.614736, 1.424622, 0.934336, 0.72742
0.25055, 0.276384, 0.898924, 1.478044, 0.820559, 0.574731
0.827549, 0.263527, 0.864904, 2.0867, 1.819523, 1.338965
0.305928, 0.255528, 1.139427, 1.936941, 0.752249, 0.479649
0.28212, 0.505139, 0.844312, 1.597797, 1.001308, 0.637064
0.462928, 0.370363, 0.753079, 1.601128, 0.939673, 0.69399
0.608773, 0.385134, 0.715951, 1.569173, 1.309616, 0.931045
0.286109, 0.311694, 0.629802, 1.497924, 0.712835, 0.578679
0.476033, 0.334214, 0.829698, 1.683125, 1.16192, 0.776869
0.319798, 0.25233, 1.017019, 1.490699, 1.005866, 0.640489
0.498568, 0.393214, 0.90198, 1.667948, 1.287799, 0.819247
0.809531, 0.416441, 0.816548, 2.04457, 1.596949, 1.178793
0.235512, 0.26028, 1.104866, 1.256474, 0.525182, 0.583761
0.240902, 0.405458, 0.948899, 1.14855, 0.642034, 0.645359
0.545749, 0.261908, 0.733358, 1.579282, 1.136041, 0.846248
0.361829, 0.393115, 1.320708, 1.434688, 0.750311, 0.599038
0.428488, 0.568564, 1.23339, 1.83114, 1.145164, 0.785254
0.396557, 0.280601, 0.659744, 1.455842, 1.070801, 0.755926
0.233702, 0.201255, 0.881745, 1.429701, 0.546549, 0.434975
0.243722, 0.202301, 0.922911, 1.223273, 0.632272, 0.557236
0.248912, 0.366449, 1.027949, 1.288512, 0.940692, 0.581738
0.334443, 0.311232, 0.940817, 1.694757, 0.818671, 0.604045
0.330182, 0.440546, 1.158188, 1.580072, 1.052646, 0.700878
0.328304, 0.239246, 0.732437, 1.378924, 0.770858, 0.621884
0.564749, 0.341441, 0.841042, 1.805321, 1.436881, 0.987283
0.598081, 0.340562, 1.017495, 1.667311, 1.448923, 1.027238
0.237128, 0.163988, 0.849005, 1.275858, 0.527346, 0.464612
0.460706, 0.605683, 1.055913, 2.078144, 1.250235, 0.835337
0.379412, 0.544146, 0.99858, 1.880743, 1.008383, 0.635549
0.514058, 0.459927, 1.086785, 1.501299, 1.34353, 0.968553
0.271054, 0.392579, 0.961156, 1.308233, 0.632952, 0.430229
0.236131, 0.227537, 1.032105, 1.16555, 0.476793, 0.524944
0.740157, 0.406337, 1.142283, 1.930297, 1.680685, 1.247877
0.240147, 0.219626, 0.889227, 1.334888, 0.564321, 0.432888
0.667307, 0.64468, 1.093886, 1.847857, 1.470518, 1.178952
0.309271, 0.804414, 1.098632, 1.047259, 0.70007, 0.516831
0.670563, 0.557561, 0.812621, 2.563713, 2.177961, 1.884088
0.214595, 0.189658, 0.813784, 1.340485, 1.119272, 0.709376
0.338122, 0.209906, 0.702822, 1.848504, 1.818261, 1.165832
0.281015, 0.585264, 0.795522, 0.803744, 0.72249, 0.564576
0.25902, 0.610109, 0.638649, 1.109863, 0.752563, 0.562643
0.293783, 0.163789, 0.726966, 1.865926, 1.573716, 1.062308
0.372582, 0.927092, 1.095547, 1.299398, 0.974589, 0.666595
0.4087, 0.299845, 0.704439, 1.791854, 1.715838, 1.212301
0.358774, 0.891396, 1.072732, 1.576895, 1.178887, 0.79238
0.324575, 0.636022, 0.901922, 1.097361, 0.857038, 0.562663
0.230597, 0.228017, 0.659424, 1.238578, 1.055869, 0.813038
0.216444, 0.206421, 0.844238, 1.509297, 1.008145, 0.656658
0.569361, 0.668414, 0.874846, 2.038594, 2.091669, 1.675771
0.386741, 0.649623, 0.990284, 1.306368, 0.825708, 0.53092
0.449669, 0.859728, 1.267255, 1.636851, 1.251634, 0.725895
0.217313, 0.134593, 0.656431, 1.42651, 1.162645, 0.785145
0.387776, 0.244166, 0.480063, 1.38251, 1.365787, 0.997008
0.222581, 0.303469, 0.696731, 1.293379, 0.839167, 0.612129
0.359215, 0.595532, 0.661293, 1.536636, 1.435165, 0.965796
0.259746, 0.191701, 0.980656, 1.579669, 1.213648, 0.79994
0.396214, 0.764306, 0.711349, 1.725684, 1.397716, 0.988098
0.526983, 0.71505, 0.779047, 2.07152, 2.05622, 1.476141
0.228739, 0.541023, 0.815624, 1.013963, 0.585464, 0.640059
0.330034, 0.844525, 1.26147, 1.105325, 0.833206, 0.629566
0.441745, 0.477015, 0.518303, 1.452378, 1.238007, 0.907694
0.391804, 0.641958, 1.134604, 1.166815, 0.80064, 0.704697
0.443678, 0.944134, 1.178547, 1.79558, 1.331474, 0.952455
0.340141, 0.570676, 0.591923, 1.462327, 1.164304, 0.821789
0.224335, 0.5416, 0.909953, 1.055203, 0.638244, 0.571107
0.218691, 0.412132, 0.684027, 1.126937, 0.866939, 0.655042
0.340514, 0.734621, 1.093234, 1.339108, 1.068824, 0.775844
