NDVI_JUN, NDVI_JUL, NDVI_AUG, NDVI_SEP, NDVI_OCT, NDVI_NOV
0.267127, 0.422869, 0.549074, 0.635475, 0.590291, 0.499968
0.204788, 0.442124, 0.636819, 0.504908, 0.363624, 0.374139
0.474099, 0.370348, 0.622812, 0.761317, 0.681799, 0.646178
0.245248, 0.338928, 0.472167, 0.560045, 0.451814, 0.43755
0.363338, 0.340311, 0.536145, 0.647831, 0.56462, 0.57753
0.185456, 0.306706, 0.44074, 0.402747, 0.33004, 0.401056
0.228942, 0.425647, 0.670838, 0.539649, 0.397986, 0.420154
0.305891, 0.37296, 0.550536, 0.629062, 0.564219, 0.543816
0.24623, 0.450619, 0.636124, 0.586854, 0.487365, 0.442962
0.387592, 0.3778, 0.555836, 0.669987, 0.562753, 0.566069
0.238486, 0.40891, 0.564624, 0.611685, 0.528738, 0.466347
0.212672, 0.34773, 0.541093, 0.456007, 0.360618, 0.350728
0.26727, 0.40945, 0.608647, 0.563677, 0.454305, 0.46482
0.210374, 0.375953, 0.513429, 0.54043, 0.401119, 0.400021
0.374905, 0.442282, 0.558686, 0.709788, 0.652957, 0.603823
0.214657, 0.461357, 0.597835, 0.617051, 0.391656, 0.380861
0.233821, 0.380858, 0.527927, 0.489469, 0.400416, 0.410485
0.254869, 0.319247, 0.609399, 0.608487, 0.454863, 0.473948
0.303794, 0.294101, 0.595218, 0.616898, 0.499765, 0.497103
0.244105, 0.390056, 0.528334, 0.489259, 0.383889, 0.403096
0.277991, 0.33885, 0.519953, 0.609771, 0.549946, 0.522592
0.239221, 0.38408, 0.463153, 0.616044, 0.452863, 0.430501
0.266461, 0.398771, 0.563363, 0.62081, 0.58296, 0.497176
0.353451, 0.412796, 0.571555, 0.699422, 0.618343, 0.58886
0.182041, 0.325011, 0.529149, 0.473304, 0.312332, 0.373432
0.209715, 0.411691, 0.517785, 0.455604, 0.361213, 0.377139
0.32091, 0.372931, 0.592567, 0.619946, 0.532665, 0.541344
0.215696, 0.42006, 0.515766, 0.507039, 0.35379, 0.409015
0.241945, 0.456033, 0.586006, 0.603722, 0.540354, 0.475738
0.295454, 0.447993, 0.576289, 0.588861, 0.493203, 0.490013
0.183588, 0.372281, 0.629089, 0.574845, 0.365918, 0.362774
0.182715, 0.283193, 0.544581, 0.561251, 0.37309, 0.381373
0.207179, 0.383515, 0.579665, 0.542037, 0.454487, 0.408182
0.251047, 0.448672, 0.620592, 0.584537, 0.466712, 0.450266
0.225213, 0.413742, 0.606422, 0.595943, 0.517185, 0.457589
0.255712, 0.373695, 0.628304, 0.561542, 0.419914, 0.442256
