Rainfall, Year, Element, Area
3.68, 2010, JUN, Anuppur
13.39912, 2010, JUL, Anuppur
9.782032, 2010, AUG, Anuppur
8.332526, 2010, SEP, Anuppur
1.451772, 2010, OCT, Anuppur
0.177238, 2010, NOV, Anuppur
0.799692, 2010, JUN, Ashoknagar
12.21466, 2010, JUL, Ashoknagar
8.286234, 2010, AUG, Ashoknagar
6.260466, 2010, SEP, Ashoknagar
0.267456, 2010, OCT, Ashoknagar
0.831193, 2010, NOV, Ashoknagar
4.437671, 2010, JUN, Balaghat
16.3876, 2010, JUL, Balaghat
16.1249, 2010, AUG, Balaghat
12.95923, 2010, SEP, Balaghat
1.698881, 2010, OCT, Balaghat
0.560686, 2010, NOV, Balaghat
4.333467, 2010, JUN, Barwani
7.529426, 2010, JUL, Barwani
10.63387, 2010, AUG, Barwani
5.368312, 2010, SEP, Barwani
1.044433, 2010, OCT, Barwani
1.204902, 2010, NOV, Barwani
4.536366, 2010, JUN, Betul
15.414, 2010, JUL, Betul
17.07473, 2010, AUG, Betul
9.245907, 2010, SEP, Betul
1.085629, 2010, OCT, Betul
1.406991, 2010, NOV, Betul
1.059728, 2010, JUN, Bhind
9.020712, 2010, JUL, Bhind
7.313843, 2010, AUG, Bhind
8.652809, 2010, SEP, Bhind
0.267121, 2010, OCT, Bhind
0.014344, 2010, NOV, Bhind
2.247953, 2010, JUN, Bhopal
13.56229, 2010, JUL, Bhopal
9.177147, 2010, AUG, Bhopal
6.402896, 2010, SEP, Bhopal
0.474477, 2010, OCT, Bhopal
0.738011, 2010, NOV, Bhopal
3.968318, 2010, JUN, Burhanpur
9.550824, 2010, JUL, Burhanpur
11.08036, 2010, AUG, Burhanpur
5.536529, 2010, SEP, Burhanpur
1.108223, 2010, OCT, Burhanpur
1.881348, 2010, NOV, Burhanpur
1.023601, 2010, JUN, Chhatarpur
11.38874, 2010, JUL, Chhatarpur
9.305043, 2010, AUG, Chhatarpur
5.732712, 2010, SEP, Chhatarpur
0.484187, 2010, OCT, Chhatarpur
0.310081, 2010, NOV, Chhatarpur
5.306782, 2010, JUN, Chhindwara
19.18211, 2010, JUL, Chhindwara
18.62793, 2010, AUG, Chhindwara
11.27447, 2010, SEP, Chhindwara
1.562794, 2010, OCT, Chhindwara
1.127876, 2010, NOV, Chhindwara
2.048676, 2010, JUN, Damoh
15.67519, 2010, JUL, Damoh
11.06042, 2010, AUG, Damoh
9.258741, 2010, SEP, Damoh
0.700226, 2010, OCT, Damoh
0.345664, 2010, NOV, Damoh
1.09302, 2010, JUN, Datia
9.016443, 2010, JUL, Datia
6.969758, 2010, AUG, Datia
6.573556, 2010, SEP, Datia
0.268032, 2010, OCT, Datia
0.16478, 2010, NOV, Datia
3.201138, 2010, JUN, Dewas
11.34452, 2010, JUL, Dewas
9.85965, 2010, AUG, Dewas
5.749623, 2010, SEP, Dewas
0.42022, 2010, OCT, Dewas
1.136085, 2010, NOV, Dewas
3.682018, 2010, JUN, Dhar
9.976734, 2010, JUL, Dhar
10.21897, 2010, AUG, Dhar
5.508499, 2010, SEP, Dhar
0.66145, 2010, OCT, Dhar
1.293205, 2010, NOV, Dhar
3.698671, 2010, JUN, Dindori
14.25121, 2010, JUL, Dindori
12.5441, 2010, AUG, Dindori
10.38634, 2010, SEP, Dindori
1.532601, 2010, OCT, Dindori
0.286026, 2010, NOV, Dindori
0.643578, 2010, JUN, Guna
11.25986, 2010, JUL, Guna
9.344761, 2010, AUG, Guna
5.194791, 2010, SEP, Guna
0.111667, 2010, OCT, Guna
1.150466, 2010, NOV, Guna
1.361065, 2010, JUN, Gwalior
8.670797, 2010, JUL, Gwalior
9.249199, 2010, AUG, Gwalior
6.284548, 2010, SEP, Gwalior
0.186854, 2010, OCT, Gwalior
0.249419, 2010, NOV, Gwalior
3.152411, 2010, JUN, Harda
14.29111, 2010, JUL, Harda
11.28447, 2010, AUG, Harda
6.762581, 2010, SEP, Harda
0.547939, 2010, OCT, Harda
1.113697, 2010, NOV, Harda
3.138302, 2010, JUN, Hoshangabad
19.3203, 2010, JUL, Hoshangabad
15.10059, 2010, AUG, Hoshangabad
10.02089, 2010, SEP, Hoshangabad
0.635875, 2010, OCT, Hoshangabad
0.749006, 2010, NOV, Hoshangabad
3.567949, 2010, JUN, Indore
10.49732, 2010, JUL, Indore
10.64467, 2010, AUG, Indore
5.143238, 2010, SEP, Indore
0.533428, 2010, OCT, Indore
1.964114, 2010, NOV, Indore
3.083129, 2010, JUN, Jabalpur
16.00613, 2010, JUL, Jabalpur
13.93112, 2010, AUG, Jabalpur
11.08534, 2010, SEP, Jabalpur
0.890273, 2010, OCT, Jabalpur
0.395782, 2010, NOV, Jabalpur
3.549103, 2010, JUN, Jhabua
11.50145, 2010, JUL, Jhabua
11.43926, 2010, AUG, Jhabua
6.220656, 2010, SEP, Jhabua
0.647337, 2010, OCT, Jhabua
0.572158, 2010, NOV, Jhabua
2.115978, 2010, JUN, Katni
14.33372, 2010, JUL, Katni
11.3439, 2010, AUG, Katni
9.237511, 2010, SEP, Katni
0.843944, 2010, OCT, Katni
0.319721, 2010, NOV, Katni
3.672349, 2010, JUN, Mandla
15.94477, 2010, JUL, Mandla
15.00182, 2010, AUG, Mandla
11.5601, 2010, SEP, Mandla
1.443408, 2010, OCT, Mandla
0.369744, 2010, NOV, Mandla
1.521754, 2010, JUN, Mandsaur
11.41346, 2010, JUL, Mandsaur
11.55612, 2010, AUG, Mandsaur
4.193098, 2010, SEP, Mandsaur
0.197697, 2010, OCT, Mandsaur
0.683982, 2010, NOV, Mandsaur
0.976574, 2010, JUN, Morena
7.721598, 2010, JUL, Morena
10.27046, 2010, AUG, Morena
7.197577, 2010, SEP, Morena
0.187138, 2010, OCT, Morena
0.318907, 2010, NOV, Morena
3.251204, 2010, JUN, Narsinghpur
18.79096, 2010, JUL, Narsinghpur
13.22269, 2010, AUG, Narsinghpur
10.73992, 2010, SEP, Narsinghpur
1.073669, 2010, OCT, Narsinghpur
0.47, 2010, NOV, Narsinghpur
1.08589, 2010, JUN, Neemuch
9.562049, 2010, JUL, Neemuch
13.6633, 2010, AUG, Neemuch
4.685579, 2010, SEP, Neemuch
0.215905, 2010, OCT, Neemuch
0.287615, 2010, NOV, Neemuch
1.079103, 2010, JUN, Panna
11.84426, 2010, JUL, Panna
9.821222, 2010, AUG, Panna
6.078757, 2010, SEP, Panna
0.730093, 2010, OCT, Panna
0.343136, 2010, NOV, Panna
2.875925, 2010, JUN, Raisen
17.03051, 2010, JUL, Raisen
10.30462, 2010, AUG, Raisen
8.188465, 2010, SEP, Raisen
0.530955, 2010, OCT, Raisen
0.602618, 2010, NOV, Raisen
1.108515, 2010, JUN, Rajgarh
12.01206, 2010, JUL, Rajgarh
9.279615, 2010, AUG, Rajgarh
5.248955, 2010, SEP, Rajgarh
0.232772, 2010, OCT, Rajgarh
1.569914, 2010, NOV, Rajgarh
2.390392, 2010, JUN, Ratlam
11.81002, 2010, JUL, Ratlam
9.727259, 2010, AUG, Ratlam
4.77066, 2010, SEP, Ratlam
0.461895, 2010, OCT, Ratlam
0.569928, 2010, NOV, Ratlam
0.695135, 2010, JUN, Rewa
7.872895, 2010, JUL, Rewa
6.489641, 2010, AUG, Rewa
7.265717, 2010, SEP, Rewa
0.817883, 2010, OCT, Rewa
0.280196, 2010, NOV, Rewa
2.264242, 2010, JUN, Sagar
15.11035, 2010, JUL, Sagar
9.151597, 2010, AUG, Sagar
7.537262, 2010, SEP, Sagar
0.559509, 2010, OCT, Sagar
0.61405, 2010, NOV, Sagar
1.123549, 2010, JUN, Satna
9.63857, 2010, JUL, Satna
8.055648, 2010, AUG, Satna
6.804492, 2010, SEP, Satna
1.025813, 2010, OCT, Satna
0.344093, 2010, NOV, Satna
2.563528, 2010, JUN, Sehore
13.21503, 2010, JUL, Sehore
10.75253, 2010, AUG, Sehore
6.417833, 2010, SEP, Sehore
0.494059, 2010, OCT, Sehore
0.76825, 2010, NOV, Sehore
4.716822, 2010, JUN, Seoni
17.58417, 2010, JUL, Seoni
16.54672, 2010, AUG, Seoni
12.33954, 2010, SEP, Seoni
1.576686, 2010, OCT, Seoni
0.682287, 2010, NOV, Seoni
2.623538, 2010, JUN, Shahdol
13.06365, 2010, JUL, Shahdol
10.13493, 2010, AUG, Shahdol
8.276728, 2010, SEP, Shahdol
1.326947, 2010, OCT, Shahdol
0.238773, 2010, NOV, Shahdol
1.572946, 2010, JUN, Shajapur
13.33203, 2010, JUL, Shajapur
10.07948, 2010, AUG, Shajapur
4.768061, 2010, SEP, Shajapur
0.245124, 2010, OCT, Shajapur
1.436226, 2010, NOV, Shajapur
0.647032, 2010, JUN, Sheopur
9.264121, 2010, JUL, Sheopur
10.96913, 2010, AUG, Sheopur
4.132137, 2010, SEP, Sheopur
0.202228, 2010, OCT, Sheopur
0.399008, 2010, NOV, Sheopur
0.752467, 2010, JUN, Shivpuri
9.559923, 2010, JUL, Shivpuri
8.93794, 2010, AUG, Shivpuri
5.284017, 2010, SEP, Shivpuri
0.172272, 2010, OCT, Shivpuri
0.630811, 2010, NOV, Shivpuri
1.156972, 2010, JUN, Sidhi
9.435773, 2010, JUL, Sidhi
8.42937, 2010, AUG, Sidhi
7.069141, 2010, SEP, Sidhi
1.165952, 2010, OCT, Sidhi
0.281439, 2010, NOV, Sidhi
0.684651, 2010, JUN, Tikamgarh
11.84906, 2010, JUL, Tikamgarh
7.919073, 2010, AUG, Tikamgarh
6.296398, 2010, SEP, Tikamgarh
0.292058, 2010, OCT, Tikamgarh
0.402803, 2010, NOV, Tikamgarh
2.212687, 2010, JUN, Ujjain
11.23688, 2010, JUL, Ujjain
9.204422, 2010, AUG, Ujjain
4.765738, 2010, SEP, Ujjain
0.270269, 2010, OCT, Ujjain
1.921334, 2010, NOV, Ujjain
2.046341, 2010, JUN, Umaria
13.77273, 2010, JUL, Umaria
10.77664, 2010, AUG, Umaria
8.658845, 2010, SEP, Umaria
0.86768, 2010, OCT, Umaria
0.245799, 2010, NOV, Umaria
2.055439, 2010, JUN, Vidisha
13.63428, 2010, JUL, Vidisha
7.57835, 2010, AUG, Vidisha
6.391455, 2010, SEP, Vidisha
0.328552, 2010, OCT, Vidisha
0.810525, 2010, NOV, Vidisha
7.769389, 2011, JUN, Anuppur
9.348433, 2011, JUL, Anuppur
14.4528, 2011, AUG, Anuppur
11.88041, 2011, SEP, Anuppur
0.821737, 2011, OCT, Anuppur
0, 2011, NOV, Anuppur
7.901649, 2011, JUN, Ashoknagar
13.0237, 2011, JUL, Ashoknagar
8.544753, 2011, AUG, Ashoknagar
7.204936, 2011, SEP, Ashoknagar
0, 2011, OCT, Ashoknagar
0.008637, 2011, NOV, Ashoknagar
6.776612, 2011, JUN, Balaghat
10.91888, 2011, JUL, Balaghat
19.80391, 2011, AUG, Balaghat
8.513394, 2011, SEP, Balaghat
0.416651, 2011, OCT, Balaghat
0.106264, 2011, NOV, Balaghat
3.33854, 2011, JUN, Barwani
8.796704, 2011, JUL, Barwani
12.73388, 2011, AUG, Barwani
4.72115, 2011, SEP, Barwani
0.40159, 2011, OCT, Barwani
0.090122, 2011, NOV, Barwani
4.863829, 2011, JUN, Betul
11.91562, 2011, JUL, Betul
12.1593, 2011, AUG, Betul
8.255394, 2011, SEP, Betul
0.297665, 2011, OCT, Betul
0.130278, 2011, NOV, Betul
4.540192, 2011, JUN, Bhind
9.199423, 2011, JUL, Bhind
8.300885, 2011, AUG, Bhind
6.002931, 2011, SEP, Bhind
0.241629, 2011, OCT, Bhind
0, 2011, NOV, Bhind
5.57626, 2011, JUN, Bhopal
14.42142, 2011, JUL, Bhopal
13.03536, 2011, AUG, Bhopal
7.781374, 2011, SEP, Bhopal
