Temperature - (Celsius), Year, Element, Area
43.0467, 2010, JUN, Anuppur
35.1668, 2010, JUL, Anuppur
30.3092, 2010, AUG, Anuppur
29.4275, 2010, SEP, Anuppur
30.0325, 2010, OCT, Anuppur
29.6325, 2010, NOV, Anuppur
42.579, 2011, JUN, Anuppur
30.9472, 2011, JUL, Anuppur
28.7996, 2011, AUG, Anuppur
28.4611, 2011, SEP, Anuppur
29.8198, 2011, OCT, Anuppur
29.1073, 2011, NOV, Anuppur
42.4213, 2012, JUN, Anuppur
38.4146, 2012, JUL, Anuppur
28.5612, 2012, AUG, Anuppur
29.4209, 2012, SEP, Anuppur
29.8067, 2012, OCT, Anuppur
26.9524, 2012, NOV, Anuppur
41.9155, 2013, JUN, Anuppur
30.0177, 2013, JUL, Anuppur
29.5877, 2013, AUG, Anuppur
29.8639, 2013, SEP, Anuppur
27.6886, 2013, OCT, Anuppur
26.7851, 2013, NOV, Anuppur
40.2578, 2014, JUN, Anuppur
35.1965, 2014, JUL, Anuppur
32.16, 2014, AUG, Anuppur
29.887, 2014, SEP, Anuppur
29.625, 2014, OCT, Anuppur
27.8419, 2014, NOV, Anuppur
40.5004, 2015, JUN, Anuppur
32.5507, 2015, JUL, Anuppur
32.3753, 2015, AUG, Anuppur
31.4867, 2015, SEP, Anuppur
33.4168, 2015, OCT, Anuppur
30.1118, 2015, NOV, Anuppur
41.8874, 2016, JUN, Anuppur
31.0721, 2016, JUL, Anuppur
30.3686, 2016, AUG, Anuppur
29.5234, 2016, SEP, Anuppur
28.7844, 2016, OCT, Anuppur
27.8443, 2016, NOV, Anuppur
41.3022, 2017, JUN, Anuppur
31.4953, 2017, JUL, Anuppur
29.8496, 2017, AUG, Anuppur
29.8404, 2017, SEP, Anuppur
29.9806, 2017, OCT, Anuppur
28.4144, 2017, NOV, Anuppur
38.7419, 2018, JUN, Anuppur
30.6225, 2018, JUL, Anuppur
30.677, 2018, AUG, Anuppur
30.1928, 2018, SEP, Anuppur
31.4569, 2018, OCT, Anuppur
29.5398, 2018, NOV, Anuppur
42.6365, 2019, JUN, Anuppur
32.9992, 2019, JUL, Anuppur
28.6898, 2019, AUG, Anuppur
27.0178, 2019, SEP, Anuppur
28.4594, 2019, OCT, Anuppur
28.1795, 2019, NOV, Anuppur
45.4519, 2010, JUN, Ashoknagar
36.5663, 2010, JUL, Ashoknagar
28.463, 2010, AUG, Ashoknagar
32.4319, 2010, SEP, Ashoknagar
36.2597, 2010, OCT, Ashoknagar
32.7109, 2010, NOV, Ashoknagar
43.85, 2011, JUN, Ashoknagar
33.2823, 2011, JUL, Ashoknagar
28.9503, 2011, AUG, Ashoknagar
32.4166, 2011, SEP, Ashoknagar
37.6107, 2011, OCT, Ashoknagar
33.7896, 2011, NOV, Ashoknagar
42.7289, 2012, JUN, Ashoknagar
40.764, 2012, JUL, Ashoknagar
28.534, 2012, AUG, Ashoknagar
31.8391, 2012, SEP, Ashoknagar
37.266, 2012, OCT, Ashoknagar
33.0276, 2012, NOV, Ashoknagar
40.9078, 2013, JUN, Ashoknagar
30.4155, 2013, JUL, Ashoknagar
27.694, 2013, AUG, Ashoknagar
32.4893, 2013, SEP, Ashoknagar
35.1755, 2013, OCT, Ashoknagar
31.6465, 2013, NOV, Ashoknagar
43.7852, 2014, JUN, Ashoknagar
40.2074, 2014, JUL, Ashoknagar
34.7703, 2014, AUG, Ashoknagar
31.7357, 2014, SEP, Ashoknagar
37.4558, 2014, OCT, Ashoknagar
34.9862, 2014, NOV, Ashoknagar
45.2923, 2015, JUN, Ashoknagar
35.7872, 2015, JUL, Ashoknagar
28.6829, 2015, AUG, Ashoknagar
34.6578, 2015, SEP, Ashoknagar
40.4283, 2015, OCT, Ashoknagar
34.529, 2015, NOV, Ashoknagar
43.6869, 2016, JUN, Ashoknagar
34.6375, 2016, JUL, Ashoknagar
25.5894, 2016, AUG, Ashoknagar
32.2136, 2016, SEP, Ashoknagar
36.2008, 2016, OCT, Ashoknagar
33.9692, 2016, NOV, Ashoknagar
40.7581, 2017, JUN, Ashoknagar
33.615, 2017, JUL, Ashoknagar
29.37, 2017, AUG, Ashoknagar
32.8303, 2017, SEP, Ashoknagar
38.0771, 2017, OCT, Ashoknagar
32.5272, 2017, NOV, Ashoknagar
40.8492, 2018, JUN, Ashoknagar
37.6298, 2018, JUL, Ashoknagar
28.8021, 2018, AUG, Ashoknagar
31.2539, 2018, SEP, Ashoknagar
37.8023, 2018, OCT, Ashoknagar
33.3195, 2018, NOV, Ashoknagar
46.1082, 2019, JUN, Ashoknagar
36.3778, 2019, JUL, Ashoknagar
25.4346, 2019, AUG, Ashoknagar
28.3421, 2019, SEP, Ashoknagar
31.6044, 2019, OCT, Ashoknagar
31.4582, 2019, NOV, Ashoknagar
40.4407, 2010, JUN, Balaghat
27.8277, 2010, JUL, Balaghat
27.3166, 2010, AUG, Balaghat
27.8698, 2010, SEP, Balaghat
27.9255, 2010, OCT, Balaghat
27.4275, 2010, NOV, Balaghat
39.9715, 2011, JUN, Balaghat
28.3353, 2011, JUL, Balaghat
28.4521, 2011, AUG, Balaghat
28.1237, 2011, SEP, Balaghat
28.7903, 2011, OCT, Balaghat
28.0973, 2011, NOV, Balaghat
39.7779, 2012, JUN, Balaghat
31.5461, 2012, JUL, Balaghat
27.1742, 2012, AUG, Balaghat
28.3078, 2012, SEP, Balaghat
28.3787, 2012, OCT, Balaghat
26.3481, 2012, NOV, Balaghat
39.8314, 2013, JUN, Balaghat
26.0171, 2013, JUL, Balaghat
26.7073, 2013, AUG, Balaghat
27.947, 2013, SEP, Balaghat
27.3364, 2013, OCT, Balaghat
26.394, 2013, NOV, Balaghat
39.156, 2014, JUN, Balaghat
34.0622, 2014, JUL, Balaghat
28.8999, 2014, AUG, Balaghat
28.8336, 2014, SEP, Balaghat
28.4526, 2014, OCT, Balaghat
26.8025, 2014, NOV, Balaghat
38.4729, 2015, JUN, Balaghat
