Temperature - (Celsius), Year, Element, Area
35.1668, 2010, LST_JUL, Anuppur
30.9472, 2011, LST_JUL, Anuppur
38.4146, 2012, LST_JUL, Anuppur
30.0177, 2013, LST_JUL, Anuppur
35.1965, 2014, LST_JUL, Anuppur
32.5507, 2015, LST_JUL, Anuppur
31.0721, 2016, LST_JUL, Anuppur
31.4953, 2017, LST_JUL, Anuppur
30.6225, 2018, LST_JUL, Anuppur
32.9992, 2019, LST_JUL, Anuppur
36.5663, 2010, LST_JUL, Ashoknagar
33.2823, 2011, LST_JUL, Ashoknagar
40.764, 2012, LST_JUL, Ashoknagar
30.4155, 2013, LST_JUL, Ashoknagar
40.2074, 2014, LST_JUL, Ashoknagar
35.7872, 2015, LST_JUL, Ashoknagar
34.6375, 2016, LST_JUL, Ashoknagar
33.615, 2017, LST_JUL, Ashoknagar
37.6298, 2018, LST_JUL, Ashoknagar
36.3778, 2019, LST_JUL, Ashoknagar
27.8277, 2010, LST_JUL, Balaghat
28.3353, 2011, LST_JUL, Balaghat
31.5461, 2012, LST_JUL, Balaghat
26.0171, 2013, LST_JUL, Balaghat
34.0622, 2014, LST_JUL, Balaghat
30.4518, 2015, LST_JUL, Balaghat
25.3938, 2016, LST_JUL, Balaghat
30.9326, 2017, LST_JUL, Balaghat
32.023, 2018, LST_JUL, Balaghat
31.1822, 2019, LST_JUL, Balaghat
30.5277, 2010, LST_JUL, Barwani
34.1067, 2011, LST_JUL, Barwani
35.7666, 2012, LST_JUL, Barwani
35.7586, 2013, LST_JUL, Barwani
39.8186, 2014, LST_JUL, Barwani
35.0791, 2015, LST_JUL, Barwani
28.3261, 2016, LST_JUL, Barwani
31.1611, 2017, LST_JUL, Barwani
34.2654, 2018, LST_JUL, Barwani
37.0565, 2019, LST_JUL, Barwani
30.5856, 2010, LST_JUL, Betul
30.954, 2011, LST_JUL, Betul
29.234, 2012, LST_JUL, Betul
28.1204, 2013, LST_JUL, Betul
37.1472, 2014, LST_JUL, Betul
34.1559, 2015, LST_JUL, Betul
27.7598, 2016, LST_JUL, Betul
31.4451, 2017, LST_JUL, Betul
33.026, 2018, LST_JUL, Betul
34.7159, 2019, LST_JUL, Betul
39.4038, 2010, LST_JUL, Bhind
35.0241, 2011, LST_JUL, Bhind
35.5833, 2012, LST_JUL, Bhind
34.3291, 2013, LST_JUL, Bhind
42.7698, 2014, LST_JUL, Bhind
36.9916, 2015, LST_JUL, Bhind
36.6762, 2016, LST_JUL, Bhind
36.3451, 2017, LST_JUL, Bhind
40.1594, 2018, LST_JUL, Bhind
37.8025, 2019, LST_JUL, Bhind
35.0323, 2010, LST_JUL, Bhopal
33.4799, 2011, LST_JUL, Bhopal
37.4065, 2012, LST_JUL, Bhopal
26.6573, 2013, LST_JUL, Bhopal
39.6705, 2014, LST_JUL, Bhopal
33.6636, 2015, LST_JUL, Bhopal
28.6316, 2016, LST_JUL, Bhopal
33.899, 2017, LST_JUL, Bhopal
34.3874, 2018, LST_JUL, Bhopal
35.5654, 2019, LST_JUL, Bhopal
30.386, 2010, LST_JUL, Burhanpur
34.2743, 2011, LST_JUL, Burhanpur
35.5797, 2012, LST_JUL, Burhanpur
28.5263, 2013, LST_JUL, Burhanpur
40.1636, 2014, LST_JUL, Burhanpur
38.4109, 2015, LST_JUL, Burhanpur
27.722, 2016, LST_JUL, Burhanpur
32.4269, 2017, LST_JUL, Burhanpur
38.9902, 2018, LST_JUL, Burhanpur
36.4325, 2019, LST_JUL, Burhanpur
40.5949, 2010, LST_JUL, Chhatarpur
33.4709, 2011, LST_JUL, Chhatarpur
40.9005, 2012, LST_JUL, Chhatarpur
30.0758, 2013, LST_JUL, Chhatarpur
39.5971, 2014, LST_JUL, Chhatarpur
33.6473, 2015, LST_JUL, Chhatarpur
31.6569, 2016, LST_JUL, Chhatarpur
33.2584, 2017, LST_JUL, Chhatarpur
38.9245, 2018, LST_JUL, Chhatarpur
36.9996, 2019, LST_JUL, Chhatarpur
33.4121, 2010, LST_JUL, Chhindwara
31.7873, 2011, LST_JUL, Chhindwara
33.6497, 2012, LST_JUL, Chhindwara
27.8669, 2013, LST_JUL, Chhindwara
38.992, 2014, LST_JUL, Chhindwara
32.8351, 2015, LST_JUL, Chhindwara
30.223, 2016, LST_JUL, Chhindwara
33.0279, 2017, LST_JUL, Chhindwara
32.6088, 2018, LST_JUL, Chhindwara
