DISTRICTS,YEAR,LST_JUN,LST_JUL,LST_AUG,LST_SEP,LST_OCT,LST_NOV
Anuppur,2010,316.1967,308.3168,303.4592,302.5775,303.1825,302.7825
Anuppur,2011,315.729,304.0972,301.9496,301.6111,302.9698,302.2573
Anuppur,2012,315.5713,311.5646,301.7112,302.5709,302.9567,300.1024
Anuppur,2013,315.0655,303.1677,302.7377,303.0139,300.8386,299.9351
Anuppur,2014,313.4078,308.3465,305.31,303.037,302.775,300.9919
Anuppur,2015,313.6504,305.7007,305.5253,304.6367,306.5668,303.2618
Anuppur,2016,315.0374,304.2221,303.5186,302.6734,301.9344,300.9943
Anuppur,2017,314.4522,304.6453,302.9996,302.9904,303.1306,301.5644
Anuppur,2018,311.8919,303.7725,303.827,303.3428,304.6069,302.6898
Anuppur,2019,315.7865,306.1492,301.8398,300.1678,301.6094,301.3295
Ashoknagar,2010,318.6019,309.7163,301.613,305.5819,309.4097,305.8609
Ashoknagar,2011,3.17E+02,306.4323,302.1003,305.5666,310.7607,306.9396
Ashoknagar,2012,315.8789,313.914,301.684,304.9891,310.416,306.1776
Ashoknagar,2013,314.0578,303.5655,300.844,305.6393,308.3255,304.7965
Ashoknagar,2014,316.9352,313.3574,307.9203,304.8857,310.6058,308.1362
Ashoknagar,2015,318.4423,308.9372,301.8329,307.8078,313.5783,307.679
Ashoknagar,2016,316.8369,307.7875,298.7394,305.3636,309.3508,307.1192
Ashoknagar,2017,313.9081,306.765,302.52,305.9803,311.2271,305.6772
Ashoknagar,2018,313.9992,310.7798,301.9521,304.4039,310.9523,306.4695
Ashoknagar,2019,319.2582,309.5278,298.5846,301.4921,304.7544,304.6082
Balaghat,2010,313.5907,300.9777,300.4666,301.0198,301.0755,300.5775
Balaghat,2011,313.1215,301.4853,301.6021,301.2737,301.9403,301.2473
Balaghat,2012,312.9279,304.6961,300.3242,301.4578,301.5287,299.4981
Balaghat,2013,312.9814,299.1671,299.8573,301.097,300.4864,299.544
Balaghat,2014,312.306,307.2122,302.0499,301.9836,301.6026,299.9525
Balaghat,2015,311.6229,303.6018,302.3301,301.7181,302.5005,301.2272
Balaghat,2016,310.844,298.5438,301.6888,300.925,300.9096,300.2454
Balaghat,2017,311.3141,304.0826,300.873,301.2967,301.7289,300.5936
Balaghat,2018,309.2862,305.173,300.4635,301.5758,302.2749,301.5348
Balaghat,2019,315.0736,304.3322,300.0117,299.3625,300.5511,299.6607
