Domain,Area,Element,Item,Year,Unit,Value
Crops,Anuppur,Yield,Soybean,2010,hg/ha,"4023,14"
Crops,Ashoknagar,Yield,Soybean,2010,hg/ha,"12807,08"
Crops,Balaghat,Yield,Soybean,2010,hg/ha,"17419,35"
Crops,Barwani,Yield,Soybean,2010,hg/ha,"2869,52"
Crops,Betul,Yield,Soybean,2010,hg/ha,"10958,32"
Crops,Bhind,Yield,Soybean,2010,hg/ha,0
Crops,Bhopal,Yield,Soybean,2010,hg/ha,"11564,91"
Crops,Burhanpur,Yield,Soybean,2010,hg/ha,"5201,48"
Crops,Chhatarpur,Yield,Soybean,2010,hg/ha,"4143,52"
Crops,Chhindwara,Yield,Soybean,2010,hg/ha,"19856,65"
Crops,Damoh,Yield,Soybean,2010,hg/ha,"14568,19"
Crops,Datia,Yield,Soybean,2010,hg/ha,"5753,85"
Crops,Dewas,Yield,Soybean,2010,hg/ha,"12512,72"
Crops,Dhar,Yield,Soybean,2010,hg/ha,"13232,57"
Crops,Dindori,Yield,Soybean,2010,hg/ha,"7971,54"
Crops,Guna,Yield,Soybean,2010,hg/ha,"11926,63"
Crops,Gwalior,Yield,Soybean,2010,hg/ha,"15032,41"
Crops,Harda,Yield,Soybean,2010,hg/ha,"13843,4"
Crops,Hoshangabad,Yield,Soybean,2010,hg/ha,"6383,56"
Crops,Indore,Yield,Soybean,2010,hg/ha,"11427,12"
Crops,Jabalpur,Yield,Soybean,2010,hg/ha,"11877,21"
Crops,Jhabua,Yield,Soybean,2010,hg/ha,"7053,96"
Crops,Katni,Yield,Soybean,2010,hg/ha,"4107,58"
Crops,Mandla,Yield,Soybean,2010,hg/ha,"6543,74"
Crops,Mandsaur,Yield,Soybean,2010,hg/ha,"13572,9"
Crops,Morena,Yield,Soybean,2010,hg/ha,"14842,11"
Crops,Narsinghpur,Yield,Soybean,2010,hg/ha,"21956,19"
Crops,Neemuch,Yield,Soybean,2010,hg/ha,"8027,08"
Crops,Panna,Yield,Soybean,2010,hg/ha,"11171,73"
